RFM_Cluster,Recency,Frequency,Monetary
0,44.12719762510826,1.5953805877382505,1.5363568
1,10.290513281181067,9.406124981461351,0.0934741
2,12.788810252109013,1.5918189394964368,0.1102143
3,14.820853279608997,11.068579175936042,764.6176
